"filename", "language", "JSON", "JSON with Comments", "JavaScript JSX", "TypeScript", "Dotenv", "Markdown", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\shet_\our-final-app\README.md", "Markdown", 0, 0, 0, 0, 0, 31, 0, 0, 20, 51
"c:\Users\shet_\our-final-app\app.json", "JSON with Comments", 0, 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\shet_\our-final-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\shet_\our-final-app\app\(tabs)\explore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 3, 31
"c:\Users\shet_\our-final-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\shet_\our-final-app\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"c:\Users\shet_\our-final-app\app\find-mentor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 420, 8, 32, 460
"c:\Users\shet_\our-final-app\app\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\shet_\our-final-app\app\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 202, 4, 17, 223
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\AddSkillToLearnForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 195, 1, 21, 217
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\CategorySelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 1, 5, 96
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\ManageSkillsToLearnScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 483, 21, 47, 551
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\SkillChip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 1, 12, 139
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\SkillsToLearnList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 241, 2, 14, 257
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\SubCategorySelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 97, 1, 6, 104
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\SuggestedSkillsGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 1, 11, 133
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 390, 8, 30, 428
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\skillData.ts", "TypeScript", 0, 0, 0, 160, 0, 0, 0, 2, 6, 168
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\useManageSkillsToLearn.ts", "TypeScript", 0, 0, 0, 245, 0, 0, 0, 19, 53, 317
"c:\Users\shet_\our-final-app\app\manage-skills-to-teach\AddSkillToTeachForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 196, 1, 21, 218
"c:\Users\shet_\our-final-app\app\manage-skills-to-teach\ManageSkillsToTeachScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 487, 21, 49, 557
"c:\Users\shet_\our-final-app\app\manage-skills-to-teach\SkillsToTeachList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 242, 2, 14, 258
"c:\Users\shet_\our-final-app\app\manage-skills-to-teach\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 1, 2, 8
"c:\Users\shet_\our-final-app\app\manage-skills-to-teach\useManageSkillsToTeach.ts", "TypeScript", 0, 0, 0, 251, 0, 0, 0, 17, 53, 321
"c:\Users\shet_\our-final-app\app\modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 4, 30
"c:\Users\shet_\our-final-app\app\screens\homescreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 674, 12, 38, 724
"c:\Users\shet_\our-final-app\app\sessions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shet_\our-final-app\app\signup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 235, 1, 21, 257
"c:\Users\shet_\our-final-app\app\weekly-availability\TimeField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 110, 4, 15, 129
"c:\Users\shet_\our-final-app\app\weekly-availability\components.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 1, 10, 126
"c:\Users\shet_\our-final-app\app\weekly-availability\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 256, 12, 37, 305
"c:\Users\shet_\our-final-app\app\weekly-availability\styles.ts", "TypeScript", 0, 0, 0, 287, 0, 0, 0, 9, 14, 310
"c:\Users\shet_\our-final-app\app\weekly-availability\useWeeklyAvailability.ts", "TypeScript", 0, 0, 0, 119, 0, 0, 0, 1, 18, 138
"c:\Users\shet_\our-final-app\components\external-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 2, 3, 26
"c:\Users\shet_\our-final-app\components\haptic-tab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 1, 2, 19
"c:\Users\shet_\our-final-app\components\hello-wave.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\shet_\our-final-app\components\parallax-scroll-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 7, 80
"c:\Users\shet_\our-final-app\components\themed-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 6, 61
"c:\Users\shet_\our-final-app\components\themed-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 5, 15
"c:\Users\shet_\our-final-app\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 6, 46
"c:\Users\shet_\our-final-app\components\ui\icon-symbol.ios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 2, 33
"c:\Users\shet_\our-final-app\components\ui\icon-symbol.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 11, 5, 42
"c:\Users\shet_\our-final-app\constants\theme.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 8, 5, 54
"c:\Users\shet_\our-final-app\eslint.config.js", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"c:\Users\shet_\our-final-app\hooks\use-color-scheme.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\shet_\our-final-app\hooks\use-color-scheme.web.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 3, 6, 22
"c:\Users\shet_\our-final-app\hooks\use-theme-color.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 4, 22
"c:\Users\shet_\our-final-app\lib\api.ts", "TypeScript", 0, 0, 0, 157, 0, 0, 0, 31, 32, 220
"c:\Users\shet_\our-final-app\package-lock.json", "JSON", 13421, 0, 0, 0, 0, 0, 0, 0, 1, 13422
"c:\Users\shet_\our-final-app\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\shet_\our-final-app\scripts\reset-project.js", "JavaScript JSX", 0, 0, 89, 0, 0, 0, 0, 10, 14, 113
"c:\Users\shet_\our-final-app\server\.env", "Dotenv", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\shet_\our-final-app\server\models\User.js", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 1, 10, 48
"c:\Users\shet_\our-final-app\server\package-lock.json", "JSON", 1203, 0, 0, 0, 0, 0, 0, 0, 1, 1204
"c:\Users\shet_\our-final-app\server\package.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\shet_\our-final-app\server\server.js", "JavaScript JSX", 0, 0, 297, 0, 0, 0, 0, 19, 65, 381
"c:\Users\shet_\our-final-app\server\services\matchingService.js", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 0, 18, 34, 178
"c:\Users\shet_\our-final-app\tsconfig.json", "JSON with Comments", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 14679, 65, 557, 1288, 3, 31, 5061, 260, 805, 22749